statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12521;Ausländerstatistik;STAG;Stichtag;2023-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;7305525;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2024-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;14061640;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2020-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;5329835;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2023-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;6590340;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2025-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;6710430;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2020-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;6102625;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2020-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;11432460;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2024-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;6684415;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2022-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;13383910;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2022-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;6378510;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2025-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;14070225;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2021-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;6306795;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2025-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;7359795;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2022-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;7005400;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2024-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;7377225;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2021-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;11817790;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2023-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;13895865;Anzahl;BEV027;Ausländer
12521;Ausländerstatistik;STAG;Stichtag;2021-12-31;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;5510995;Anzahl;BEV027;Ausländer
